response_time_min,quote_amount_10k,qna_count,converted
59.67,10.36,2,0
22.92,23.98,3,1
49.63,87.52,7,0
50.24,80.9,6,0
58.55,57.66,5,0
4.63,26.78,6,1
19.05,65.46,4,1
55.17,64.65,4,0
40.55,60.25,4,0
17.15,0.9,1,1
23.37,29.62,2,1
13.81,45.02,1,1
10.02,73.16,6,1
9.21,56.18,3,1
58.45,35.81,1,0
25.43,80.71,4,0
3.79,46.03,2,1
29.5,51.54,2,0
17.3,67.14,4,1
12.7,25.96,4,1
12.45,55.7,4,1
34.74,6.47,1,0
35.45,24.38,4,0
53.28,67.42,4,0
6.59,96.39,6,1
29.78,36.9,2,0
17.41,54.88,4,1
29.15,52.74,5,1
56.91,35.48,1,0
55.59,61.49,4,0
45.61,58.88,7,0
46.92,19.16,1,0
16.67,9.94,2,1
31.06,39.28,3,1
48.27,32,3,0
45.96,50.64,4,0
34.42,21.51,1,0
51.09,99.71,7,0
51.12,32.72,3,0
22.27,61.83,5,1
27.43,40.79,6,1
18.07,6.53,1,1
48.63,86.15,7,0
29.63,38.8,5,1
33.78,35.16,3,0
28.91,2.21,0,1
15.23,55.59,4,1
59.01,95.84,5,0
33.05,94.25,6,0
58.19,20.06,1,0
13.53,67.41,6,1
54.01,80.96,6,0
19.37,53.73,2,1
19.77,68.57,5,1
42.79,10.01,3,1
45.21,30.39,0,0
58.13,69.19,6,0
57.32,47.35,1,0
55.86,70.65,4,0
38.25,44.68,3,1
24,31.43,3,1
8.42,65.59,4,1
23.21,18.59,3,1
18.91,5.77,2,1
36.67,33.01,3,0
33.47,96.75,7,1
6.58,56.42,3,1
28.81,93.23,6,0
50.28,27.43,2,0
39.47,45.3,5,0
3.62,21.93,2,1
5.07,76.68,6,1
10.04,27.49,2,1
49.51,3.3,0,0
59.34,70.07,5,0
24.69,38.23,4,1
59.33,21.48,2,0
51.28,41.22,0,0
9.49,44.99,2,1
44.8,18.33,3,0
